coef,coef_p,driver,neighbour
0.13987650602861,0.0207403345560974,AHCTF1,TPR
0.835809639945949,0.0306878863139128,AHCYL2,SOST
-0.216390843627265,0.000822339419118,AHI1,RAB8A
0.226501187342446,0.0224760339787403,AHNAK,ANXA1
-0.124487332143102,0.0418036792109322,AHNAK,ARL15
0.086411281403407,0.0174862603219992,AHNAK,CACYBP
0.124699285997617,0.0060895589034553,AHNAK,DCUN1D5
-0.16904571202075,0.0327424274139165,AHNAK,FGD5
0.10156805701735,0.0028496656155599,AHNAK,HNRNPAB
0.0809199935531106,0.0488773680337268,AHNAK,HSPA5
0.100444444508095,0.0035301218418465,AHNAK,KDM1A
0.0813290046036171,0.0477161631438369,AHNAK,PAICS
0.301598467257819,0.0229252333862615,AHNAK,PCDH7
-0.170880625442934,0.00196355545649,AHNAK,PER2
-0.0813017003883753,0.0365564369379346,AHNAK,POLH
-0.0740876199884814,0.0479265613162503,AHNAK,POT1
0.0697454964242168,0.0317331693630978,AHNAK,RPA1
0.0695910082696513,0.0438579136103694,AHNAK,RPA2
0.0879676994143774,0.0095869875975107,AHNAK,STIP1
0.0613976420637482,0.0429780917737287,AHNAK,SUMO2
0.0542567218324627,0.002096933542887,AHNAK,TARDBP
0.386329661070233,0.0286896753288409,AHNAK2,AGR2
-0.0604364886911481,0.0472859036360177,AHNAK2,PSMD14
0.0763145647968327,0.0364184257097513,AHNAK2,TNRC6A
-0.0858589337955269,0.0162872687872218,AHNAK2,USP14
-0.0702379438079002,0.040347217221576,AHNAK2,YWHAG
0.433061045421328,0.0497305278161529,AHSA1,APLP2
1.79703801489429,0.018333725423678,AHSA1,CFTR
-1.27729319699316,0.0147965318491559,AHSA1,EGLN3
0.336149468778303,0.0383893450489967,AHSA1,HSPA4
0.418372042226349,0.0451087583625605,AHSA1,IQGAP1
-0.278423219901517,0.0440016966193018,AHSA1,LSM14A
-0.351041492589707,0.0411696789282885,AHSA1,RPL22
-0.742310847359939,0.0185207738257766,AHSA1,SCHIP1
0.419889107203186,0.027434141715888,AHSA1,STIM1
-0.433070113433158,0.0130380400462676,AHSA1,TRIM28
0.598839098378703,0.0372393315559948,AHSA1,USP53
-0.200800622075496,0.0125332094355924,AJUBA,ELF2
-0.563278865523677,0.0321627405562558,AJUBA,FHL1
-0.247451681809776,0.0242496651177586,AJUBA,RBBP4
-0.242651321407946,0.005891721686543,AJUBA,RPA2
-0.702250336845251,0.033594867979306,AJUBA,SLC1A2
0.413062929822166,0.0073113551844653,AJUBA,TRIP6
-1.15430376391251,0.0005150957988251,AJUBA,ZNF541
0.252536052893989,0.0301444253899219,AJUBA,ZYX
-0.491232931983026,0.0296507181430131,AKAP11,CREB3L3
-0.483053940629409,0.0307803929349554,AKAP11,EGLN3
-0.225008260252155,0.0072183996054561,AKAP11,HSCB
-0.499070379138584,0.0189709754282361,AKAP11,KRT8
-0.232333619545928,0.0398755049446552,AKAP11,MYO6
0.731402591066963,0.0379276344925241,AKAP11,SFRP4
-0.136098846081527,0.0367767205429752,AKAP13,BAK1
0.128678244421087,0.0106243011903771,AKAP13,CTDP1
0.318535522254446,0.0047133263540765,AKAP13,MAP1LC3A
0.170765790183468,0.0219631842810243,AKAP13,PRDX2
0.130982600557985,0.0330032966745785,AKAP13,ULK1
0.112680286498768,0.0167451073587597,AKAP6,CALM1
0.256191124704427,0.0295259132812324,AKAP8,BMI1
-0.217905250155423,0.0128956114814647,AKAP8,FZR1
-0.326674597569809,0.0100244706091665,AKAP8,KLF16
0.135137310211374,0.0378567217156836,AKAP8,MATR3
0.910779761623068,0.0081278844205518,AKAP8,MYCN
0.189456378653574,0.0280056690324751,AKAP8,PDS5A
0.184524865581947,0.0077973770761899,AKAP8,RHOA
0.195674958482908,0.002334429936997,AKAP8,THRAP3
0.220385171880334,0.0309087199735092,AKAP8,TOP1
-0.201639234435091,0.0424403349963465,AKAP8,YWHAG
0.235994657671529,0.0056491103146546,AKAP8,ZRANB1
0.100501728699951,0.0167511088127576,AKAP9,CDC5L
0.0798426750017486,0.0154580062252063,AKAP9,CUL3
-0.0956465341697521,0.0199325922895059,AKAP9,GOLGA2
0.596329357614065,0.028182617581943,AKAP9,MAGEA6
0.242426340173644,0.0024074158764103,AKAP9,PRKACB
-0.118046051686474,0.0118723454305056,AKAP9,VDAC2
0.0730384328749116,0.0448612560587934,AKAP9,YWHAB
-1.01707970622266,0.0105175791112093,AKR1C2,ALDH7A1
-0.556906157656148,0.0381516520104168,AKR1C2,FAHD2A
0.676419765167788,0.0248368410202457,AKR1C2,GOT1
1.47629100770531,0.0369143961258921,AKR1D1,AKR1B10
0.348340459378781,0.0088268813196482,AKT1,ACOT4
-0.130457685492463,0.014818572242816,AKT1,ACP1
-0.212683918168494,0.0103404825619065,AKT1,ARRB2
0.178420987694565,0.0277425821554859,AKT1,ATRX
-0.280530535966809,0.0038385476073919,AKT1,CCNF
-0.187707261665886,0.0028748761199509,AKT1,CCT4
-0.20677479550838,0.0057035186330471,AKT1,CCT6A
-0.141214481222586,0.0099486618163615,AKT1,CCT7
-0.126349592347797,0.0248955693293256,AKT1,CCT8
-0.13681686038644,0.0495361598425427,AKT1,CTDSP2
-0.116254104566864,0.0447619328026944,AKT1,DNM1L
-0.740498233542705,0.0188970370328063,AKT1,DSG1
-0.138037333449984,0.0192507982323884,AKT1,ERAL1
-0.269270697570863,0.0329316049005747,AKT1,FANCA
