driver,neighbour,rho,rho_pval
A1CF,TRAF1,0.5235294117647059,0.0374126481301493
A2ML1,BAK1,0.6337662337662338,0.0020369727175807
A2ML1,BEX5,-0.5012987012987012,0.0206078519184424
A2ML1,C1orf35,0.6116883116883116,0.0032126793710934
A2ML1,GABPA,-0.4623376623376624,0.0348387956901551
A2ML1,GPN1,0.6064935064935064,0.0035593019892842
A2ML1,MRM1,0.4662337662337661,0.0331405279687713
A2ML1,PIGT,0.4831168831168831,0.0265184553758277
A2ML1,PIM1,0.4688311688311688,0.0320449581163426
A2ML1,PINK1,-0.5233766233766234,0.0149000063637095
A2ML1,RNF8,0.6038961038961038,0.0037439776277835
A2ML1,SCN3B,-0.4753246753246753,0.0294304212264113
A2ML1,SPTBN4,-0.4532467532467532,0.0390667459494121
A2ML1,SRRT,0.4844155844155844,0.0260561617886237
A2ML1,UGT1A10,0.435064935064935,0.0487139822463661
A2ML1,WWOX,-0.5987012987012986,0.004137339094531
A2ML1,ZNF154,-0.4441558441558441,0.0436842829832084
ABCA13,ECT2,0.3918992884510125,0.0391583323076983
ABCB1,DKK3,0.487719298245614,0.0341505632029607
ABCB1,FOXO1,0.6789473684210526,0.0013913709079646
ABCC3,ATP9A,-0.4807017543859649,0.03721802076332
ABCC3,CANX,-0.4807017543859649,0.03721802076332
ABCC3,EGF,-0.6000000000000001,0.006612317304156
ABCC3,EGFR,-0.5280701754385965,0.0201243157619699
ABCC3,ESR2,0.4859649122807017,0.0348983520309562
ABCC3,NUP93,0.5105263157894736,0.02551608950692
ABCC3,TOP3B,0.5771929824561403,0.0096653584260743
ABCC5,RAC1,0.5764705882352941,0.0194151403865315
ABCC5,RHOU,-0.5147058823529412,0.0413458064422489
ABCC9,ABCA2,-0.4356521739130434,0.0333432419792906
ABCC9,ATP1A2,-0.4356521739130434,0.0333432419792906
ABCC9,ATP1B2,-0.4930434782608694,0.01436373376817
ABCC9,ATP1B3,0.7539130434782607,2.097354763559076e-05
ABCC9,ATP2A2,0.6269565217391303,0.0010432148096174
ABCC9,FXYD1,-0.4313043478260869,0.0353504559247136
ABCC9,LDHA,0.4469565217391303,0.0285462845824444
ABCC9,NUDCD1,0.6521739130434783,0.0005535306808586
ABCC9,SLC9A1,0.5565217391304348,0.0047378143325231
ABCD1,FSCN1,0.5874125874125874,0.0446092964633631
ABCD1,LMBR1L,0.5944055944055945,0.0415214944103185
ABCD1,VPS26B,-0.6993006993006995,0.0113741986426909
ABCF1,BRD4,0.6735294117647058,0.0042327392484605
ABCF1,E2F4,0.5911764705882353,0.0158755795556414
ABCF1,EDC4,0.5205882352941177,0.0386909071406499
ABCF1,EED,0.5882352941176471,0.0165397221953781
ABCF1,EIF2S2,0.5441176470588236,0.0293363374813765
ABCF1,FBP1,-0.5882352941176471,0.0165397221953781
ABCF1,HNRNPA0,0.5705882352941177,0.0209906963682177
ABCF1,HNRNPA2B1,0.5470588235294118,0.0283010872421088
ABCF1,KIF23,0.5441176470588236,0.0293363374813765
ABCF1,MMS19,0.5147058823529412,0.0413458064422489
ABCF1,NOP56,0.5588235294117647,0.0244365114245057
ABCF1,OTUB1,0.5088235294117647,0.0441352182349838
ABCF1,PRMT1,0.5735294117647058,0.020191038046523
ABCF1,RNF8,0.6441176470588235,0.0070815240865828
ABCF1,RPL18A,0.5294117647058824,0.0349520067895181
ABCF1,RPL36A,0.5294117647058824,0.0349520067895181
ABCF1,RPL7A,0.5205882352941177,0.0386909071406499
ABCF1,RPS26,0.6705882352941177,0.0044672086977381
ABCF1,SMNDC1,0.6,0.0140071223295999
ABCF1,TRAF3,0.5735294117647058,0.020191038046523
ABCF1,UBA1,0.5941176470588235,0.015232400876328
ABCF1,XPO1,0.5058823529411764,0.0455816161239403
ABCF2,CCDC8,0.5142857142857142,0.0498392334714206
ABCF2,RPL6,0.6285714285714286,0.0120795391759057
ABCF2,TIPARP,-0.5249999999999999,0.0444839058001064
ABCG8,ABCC8,-0.4716202270381837,0.0481689767895532
ABCG8,ABCC9,-0.6016511867905057,0.0082537804792943
ABCG8,ATP12A,0.5190918472652218,0.0272785287000169
ABCG8,ATP1A2,-0.6553147574819401,0.0031558468964774
ABCG8,ATP1B3,0.5665634674922602,0.0142268226973
ABCG8,KCNJ8,-0.5706914344685242,0.0133842813488233
ABCG8,LMNB1,0.4901960784313726,0.0389034457234458
ABHD15,PEX7,-0.7333333333333332,0.0158005962505715
ABL1,AHSA1,0.5273477812177503,0.0245139177321961
ABL1,BACE2,0.5252837977296182,0.0251835915596134
ABL1,CHCHD2,0.5562435500515995,0.0165184030544048
ABL1,CKMT1A,0.6119711042311662,0.0069502747121612
ABL1,EPS15,-0.47781217750258,0.044912151188224
ABL1,GAD1,0.5211558307533539,0.0265656971038647
ABL1,GIPC1,0.4922600619195046,0.0379650212831526
ABL1,GTF2IRD1,0.6099071207430341,0.007196658594982
ABL1,MAPK11,-0.5562435500515995,0.0165184030544048
ABL1,MAPK12,-0.5108359133126935,0.030279746991203
ABL1,MAPT,-0.5954592363261093,0.0091259614004931
ABL1,P2RX7,-0.6140350877192982,0.0067107587733592
ABL1,PAK1,0.4881320949432404,0.0398595309009997
ABL1,PRX,-0.5232198142414861,0.0258674515001419
ABL1,RAPH1,-0.4860681114551083,0.0408334847820802
ABL1,SHC2,-0.4840041279669762,0.0418255154864637
ABL1,SNX17,-0.5521155830753354,0.0175129146986833
ABL1,SPTA1,-0.5294117647058824,0.0238582312796628
ABL1,TMPO,0.5583075335397317,0.0160382003977207
ABL1,TRIM39,-0.6140350877192982,0.0067107587733592
ABL1,WAS,-0.4901960784313726,0.0389034457234458
ABL1,YWHAB,0.5376676986584108,0.0213714146578064
ABL2,AR,-0.657142857142857,0.0077702513586684
ABL2,BICD2,0.5928571428571427,0.0198464219701811
ABL2,CAP2,-0.6607142857142856,0.0073305698308917
ABL2,CAT,-0.6107142857142855,0.0155928314211756
ABL2,CDC37,0.557142857142857,0.030961086755812
ABL2,CUL4A,0.5821428571428571,0.0227936871264142
ABL2,FBXO38,-0.7535714285714286,0.0011775830234888
ABL2,HRAS,0.5428571428571428,0.0365218225548373
ABL2,HSPA1A,0.5714285714285713,0.0260631933763628
ABL2,MAD2L1,0.6857142857142856,0.0047722452226912
ABL2,MAPT,-0.5535714285714285,0.0322871037701236
ABL2,NFKBIB,0.5892857142857142,0.0207943584831616
ABL2,OIP5,0.7607142857142856,0.0009911286119823
ABL2,PIK3R1,-0.6928571428571427,0.0041902329602981
ABL2,PSMA7,0.6071428571428571,0.016381306768307
ABL2,RAC1,0.6107142857142855,0.0155928314211756
ABL2,RIN1,0.8107142857142855,0.0002460079779722
ABL2,SFN,0.6785714285714285,0.0054165502195917
ABL2,SNX27,-0.5392857142857141,0.0380216562635579
ABL2,SORBS2,-0.7249999999999999,0.0022270323137542
ABL2,SRC,0.7285714285714285,0.0020652097446907
ABL2,TRIM25,0.6321428571428571,0.0114575415400788
ABL2,WASL,-0.657142857142857,0.0077702513586684
ABL2,YWHAB,0.557142857142857,0.030961086755812
ABL2,YWHAZ,0.682142857142857,0.0050863264689772
ABL2,ZMAT1,-0.7642857142857141,0.0009073101116849
ABLIM2,PTK2,-0.6153846153846153,0.0251671165518992
ACAN,SEMA3A,0.5207792207792208,0.0154962261340791
ACO1,CLTC,-0.5617647058823529,0.0235370164742808
ACO1,DCPS,0.5058823529411764,0.0455816161239403
ACO1,SHMT2,0.5588235294117647,0.0244365114245057
ACTB,ABI2,-0.657142857142857,0.0077702513586684
ACTB,ABL1,-0.575,0.0249362279425825
ACTB,ACD,0.6678571428571428,0.0065099566947154
ACTB,ACE,-0.5714285714285713,0.0260631933763628
ACTB,ACTA2,-0.5642857142857142,0.0284325221487085
ACTB,ALDOA,0.6071428571428571,0.016381306768307
ACTB,AMOT,-0.5428571428571428,0.0365218225548373
ACTB,ARFIP1,-0.6678571428571428,0.0065099566947154
ACTB,ARHGAP27,0.5464285714285714,0.0350666602167098
ACTB,ARID1A,-0.6071428571428571,0.016381306768307
ACTB,ARID1B,-0.5857142857142856,0.0217765176190427
ACTB,ARID2,-0.6142857142857142,0.0148339554059769
ACTB,ARL1,-0.5857142857142856,0.0217765176190427
ACTB,ARPC1B,0.6607142857142856,0.0073305698308917
ACTB,BCL7B,0.5607142857142856,0.0296764960944746
ACTB,CD93,-0.5142857142857142,0.0498392334714206
ACTB,CFL2,-0.5142857142857142,0.0498392334714206
ACTB,CNN1,-0.532142857142857,0.0411585803869344
ACTB,COBL,-0.5714285714285713,0.0260631933763628
ACTB,CORO7,0.6285714285714286,0.0120795391759057
ACTB,COX4I1,0.6,0.0180500879414999
ACTB,CUL5,-0.657142857142857,0.0077702513586684
ACTB,DBNL,0.657142857142857,0.0077702513586684
ACTB,DCTN2,0.6,0.0180500879414999
ACTB,DCTN4,-0.7,0.0036660678988013
ACTB,DIXDC1,-0.5821428571428571,0.0227936871264142
ACTB,DPP4,-0.5178571428571428,0.0480040773665583
ACTB,DSTN,-0.575,0.0249362279425825
ACTB,EFTUD2,0.6357142857142856,0.0108607461687898
ACTB,ENC1,-0.5392857142857141,0.0380216562635579
ACTB,ENO1,0.6464285714285712,0.0092145506899799
ACTB,EP300,-0.7071428571428571,0.003195481258245
ACTB,EPC1,-0.7999999999999999,0.0003422698330356
ACTB,EPC2,-0.7857142857142856,0.0005164547475705
ACTB,ERG,-0.7499999999999999,0.0012808984509355
ACTB,FAM107A,-0.5892857142857142,0.0207943584831616
ACTB,FLII,0.557142857142857,0.030961086755812
ACTB,FMN2,-0.6178571428571428,0.0141039284064894
ACTB,GAPDH,0.5964285714285712,0.0189319246878651
ACTB,GTF2A1,-0.5214285714285714,0.046219234478573
ACTB,HSPA5,-0.5928571428571427,0.0198464219701811
ACTB,HTR1E,-0.5214285714285714,0.046219234478573
ACTB,INO80D,-0.5785714285714285,0.0238466587629966
ACTB,INO80E,0.5285714285714286,0.0427972893094503
ACTB,INSR,-0.557142857142857,0.030961086755812
ACTB,IQGAP2,-0.6428571428571428,0.0097399446955952
ACTB,ITGA1,-0.6214285714285712,0.0134020067121817
ACTB,ITGA8,-0.6392857142857141,0.0102884466195942
ACTB,ITGA9,-0.6357142857142856,0.0108607461687898
ACTB,JMY,-0.7071428571428571,0.003195481258245
ACTB,KCTD10,-0.5785714285714285,0.0238466587629966
ACTB,KDM3B,-0.5249999999999999,0.0444839058001064
ACTB,KIF1B,-0.5714285714285713,0.0260631933763628
ACTB,LARP1B,-0.6178571428571428,0.0141039284064894
